NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
47.599999999999994,0.0,45.4,19.6,30.0,0.0,0.0,0.0
69.6,100.0,1.2,3.2,1.2,3.2,69.6,0.0
0.0,11.200000000000001,57.199999999999996,35.0,0.0,11.200000000000001,0.0,0.0
0.0,0.0,60.4,52.2,0.0,0.0,0.0,0.0
43.4,0.0,47.4,19.0,29.2,0.0,0.0,0.0
4.6,0.0,54.800000000000004,36.199999999999996,4.6,0.0,0.0,0.0
92.2,100.0,0.8,0.0,0.8,0.0,92.2,0.0
1.7999999999999998,0.0,54.6,34.599999999999994,1.7999999999999998,0.0,0.0,0.0
5.0,0.0,53.800000000000004,34.0,4.6,0.0,0.0,0.0
50.2,77.0,44.6,8.6,26.8,8.6,35.199999999999996,0.0
0.0,32.800000000000004,60.8,46.400000000000006,0.0,31.0,0.0,0.0
3.4000000000000004,0.0,54.6,33.0,3.2,0.0,0.0,0.0
21.6,0.0,51.2,33.800000000000004,19.8,0.0,0.0,0.0
52.400000000000006,99.6,46.800000000000004,8.0,30.4,8.0,52.400000000000006,0.0
16.8,0.0,51.4,37.6,15.6,0.0,0.0,0.0
0.0,100.0,46.2,8.6,0.0,8.6,0.0,0.0
81.39999999999999,69.6,29.599999999999998,2.0,28.799999999999997,2.0,52.6,0.0
2.6,0.0,53.800000000000004,42.0,2.1999999999999997,0.0,0.0,0.0
56.599999999999994,23.400000000000002,40.8,11.0,31.4,3.5999999999999996,5.800000000000001,0.0
89.0,100.0,14.799999999999999,0.2,14.799999999999999,0.2,89.0,0.0
6.2,56.8,53.2,15.6,3.2,15.6,5.2,0.0
59.8,100.0,44.2,6.0,32.0,6.0,59.8,0.0
0.0,51.2,59.599999999999994,31.0,0.0,31.0,0.0,0.0
0.0,100.0,66.0,10.4,0.0,10.4,0.0,0.0
96.0,100.0,5.2,0.0,5.2,0.0,96.0,0.0
23.0,0.0,50.8,30.4,19.8,0.0,0.0,0.0
62.0,17.2,36.8,8.0,29.599999999999998,1.2,2.0,0.0
38.4,100.0,50.6,6.6000000000000005,24.6,6.6000000000000005,38.4,0.0
30.0,100.0,51.6,7.8,14.799999999999999,7.8,30.0,0.0
